TITRE;CATEGORIE;GENRE;REALISATEUR;ORIGINE;ACTEUR;CLASSEUR;NUMERO;TYPE;ZONE;ANNEE;LANGUE;COMMENTAIRES;VOIR;;;;;;;;;
Au Nom du Roi;Heroic Fantaisy;Fantastique;;USA;Jason Statham - Leele Sobieski - Ron Perlman;;;DVD;;2006;Fr-Ang;;;;;;;;;;;
Au Nom du Roi 2;Heroic Fantaisy;Fantastique;Uwe Boll;;Dolph Lundgren - Nathassia Malthe - Lochlyn Munro;;;DVD;1;2010;Fr-Ang;;;;;;;;;;;
Australia;Guerre;2e Guerre Mond. Pacifique;Baz Luhrmann;Austral-USA;Nicole Kidman - Hugh Jackman;;;DVD;2;2008;Fr-Ang;;;;;;;;;;;
Autant en Emporte le Vent;Western;Secession;Victor Fleming;USA;Vivien Leigh - Clark Gable Leslie Howard;;;DVD;1;1939;;;;;;;;;;;;
Automata;Science Fiction;Thriller;Gabe Ibanez;USA-ESP-CAN-Bulgare;Antonio Banderas - Dylan McDermott - Mélanie Griffith - Birgitte Hjort Serensen - Robert Forster;;;DVD;2;2015;Fr-ang;;;;;;;;;;;
Avatar;Science Fiction;SF;James Cameron;USA;Sam Worthington - Zoe Saldana - Sigourney Weaver;;;DVD;2;2009;Fr-Ang;;;;;;;;;;;
Avril et le Monde Truqué;Jeunesse;Dessins Animés;Franck Ekinci - Christian Desmares;FR-Belg-CAN;;;;DVD;2;2015;Fr;;A REVOIR;;;;;;;;;
Baby beethoven;Jeunesse;Baby;Walt Disney;GB;;;;DVD;2;1998;Ang;;;;;;;;;;;
Baby Van Gogh;Jeunesse;Baby;Walt Disney;GB;;;;DVD;1;;Ang;;;;;;;;;;;
Babylone A.D.;Science Fiction;SF;Mathieu Kassovitz;USA-FR;Vin Diesel - Melanie Thierry;;;DVD;2;2008;;;;;;;;;;;;
Balada Triste;Policier;Conte;Espagne - Alex de la Iglesia;Espagne;Carlos Areces - Antonio de la Torre - Carolina Bang;;;DVD;2;2010;Fr-Esp;;;;;;;;;;;
Band of Brothers (Frères d'Armes)   10 épisodes de 52mn  ;Guerre;Historique;Steven Spielberg - Tom Hanks-HBO;USA;;Bur;Coffret;DVD;2;2002;Fr-Ang;Série Band of Brothers;;;;;;;;;;
Bande de Requins;Jeunesse;Dessins Animés;Dreamworks;USA;;;;DVD;2;2004;Fr-Ang-Ara;;;;;;;;;;;
Barbarians;Action;Historique;Vladimir Bortko;Russie;Bogdan Stupka - Igor Petrenko - Vladimir Vdovichenkov - Magdalena Mielcarz;;;DVD;2;2011;Fr-Rus;;;;;;;;;;;
Baron Rouge;Guerre;1er Guerre Mond.;;;Matthias Schweighofer - Til Schweiger - Lena Heady - Joseph Fiennes;;;DVD;2;2008;Fr-Ang;;;;;;;;;;;
Barry Lyndon;Drame;Drame;Stanley Kubrick;USA;Ryan O'Neal - Marisa Berenson;;;DVD;2;1975;Fr-Ang;;;;;;;;;;;
Batman Begins;Science Fiction;Super héros;Christofer Nolan;USA-GB;Christian Bale - Michael Caine - Morgan Freeman;;;DVD;2;2005;Fr-Ang;;;;;;;;;;;
Batman The Dark Knight;Science Fiction;Super héros;;USA;Christian Bale - Michael Caine - Morgan Freeman;;;DVD;1;2008;Fr-Ang-Esp;;;;;;;;;;;
Battle for Haditha;Guerre;2e Guerre Mond.;Nick Broomfield;;Elliot Ruiz - Falah Flayeh - Yasmine Hanani - Eric Mehacopoulos;;;DVD;2;2007;Fr-Ang;;;;;;;;;;;
Battle For Honor - La Bataille de Brest-Litovsk;Guerre; 2e Guerre Mond.;Russie;Russie;Alesha Kopashov - Pavel Derevyanko - Alexander Korshunov;;;DVD;2;2009;Fr-Rus;;;;;;;;;;;
Ben Hur;Action;Péplum;William Wyler;USA;Charlton Heston - Jack Hawkins;;;DVD;2;1959;Fr-Ang;;;;;;;;;;;
Ben Hur (Remake);Action;Péplum;Timur Bekmambetov;USA;Jack Huston - Morgan Freeman - Tony Kebbel - Rodrigo Santoro - Nazani Boniadi - Pilou asbaek;;;DVD;2;2016;Fr-Ang-Esp;;;;;;;;;;;
Benjamin Gates et le Trésor Des Templiers;Action;Aventures;;USA;Nicolas Cage - Diane Kruger - Jon Voight - Sean Bean;;;DVD;2;2004;Fr-Ang;;;;;;;;;;;
Benjamin Gates Le Livre Des Secrets;Action;Aventures;;USA;Nicolas Cage - Diane Kruger - Jon Voight;;;DVD;2;2007;Fr-Ang;;;;;;;;;;;
Beur sur la Ville;Comedie;Policier;Djamel Bensalah;France;Booder - Issa Doumbia - Steve Tran - Sandrine Kiberlan - Josiane Balasko - Gerard Jugnot;;;DVD;2;2011;Fr;;;;;;;;;;;
Bienvenue chez les Ch'tis;Comedie;Humour;Dany Boon;France;Kad Merad - Dany Boon - Michel Galabru;;;DVD;2;2008;Fr;;;;;;;;;;;
Bienvenue en Afrique;Comedie;Société;Afrique - Andreas Gruber;Allemagne;Georg Friedrich - Rainer Egger - Aboul Salis;;;DVD;2;2006;All;;;;;;;;;;;
Billy Elliot;Comedie;Drame;Stephen Daldry Irlande;GB-FR;Jamie Bell - Julie Walters - Jamie draven - Gary Lewis;;;DVD;;2000;;;;;;;;;;;;
Black Beauty;Jeunesse;Nature;;USA;Sean Bean - David Thewlis;;;DVD;1;1994;Fr-Ang;;;;;;;;;;;
Black Death;Fantastique;Frisson;;GB;Sean Bean - Eddie Redmayne - Carice Van Houten;;;DVD;2;2010;Fr-Ang;;;;;;;;;;;
Black Panther;Science Fiction;Super héros;Ryan Coogler;USA;Chadwick Boseman - Michael B. Jordan - Lupita Nyong'o - danai Gurira - Martin Freeman;;;DVD;2;2018;Fr-Ang;;;;;;;;;;;
Black Sails Saison 1: 8 épisodes;Action;Aventures;Jonathan E. Steinberg - Robert Levine;USA-RSA;Toby Stephens - Hannah New - Luke Arnold - Jessica Parker Kennedy - Zach McGowan;Bur;Coffret;DVD;2;2014;Fr-Ang;Série Black Sails;;;;;;;;;;
Black Sails Saison 2: 10 épisodes;Action;Aventures;Jonathan E. Steinberg - Robert Levine;USA-RSA;Toby Stephens - Hannah New - Luke Arnold - Jessica Parker Kennedy - Zach McGowan;Bur;Coffret;DVD;2;2015;Fr-Ang;Série Black Sails;;;;;;;;;;
Black Sails Saison 3: 10 épisodes;Action;Aventures;Jonathan E. Steinberg - Robert Levine;USA-RSA;Toby Stephens - Hannah New - Luke Arnold - Jessica Parker Kennedy - Zach McGowan;Bur;Coffret;DVD;2;2016;Fr-Ang;Série Black Sails;;;;;;;;;;
Black Sails Saison 4: 10 épisodes;Action;Aventures;Jonathan E. Steinberg - Robert Levine;USA-RSA;Toby Stephens - Hannah New - Luke Arnold - Jessica Parker Kennedy - Zach McGowan;Bur;Coffret;DVD;2;2017;Fr-Ang;Série Black Sails;;;;;;;;;;
Black Sheep;Fantastique;Frisson;;New Zealand;Nathan Meister;;;DVD;1;2006;Fr-Ang;;;;;;;;;;;
Black Swan;Comedie;Drame;Darren Aronofsky;USA;Nathalie Portman - Vincent Cassel - Mila Kunis;;;DVD;2;2010;Fr-Ang;;;;;;;;;;;
Blade;Fantastique;Frisson;;USA;Wiesley Snipes;;;DVD;;1998;Fr-Ang;;;;;;;;;;;
Blade 2;Fantastique;Frisson;Guillermo Del Toro;USA;Wiesley Snipes;;;DVD;;2002;Fr-Ang;;;;;;;;;;;
Blade 3 Trinity;Fantastique;Frisson;David S. Goyer;USA;Wiesley Snipes;;;DVD;;2004;Fr-Ang;;;;;;;;;;;
Blade Runner;Science Fiction;SF;Ridley Scott;USA;Harrison Ford - Rutger Hauer - Sean Young;;;DVD;2;1982;Fr-Ang-Itl;;;;;;;;;;;
Blade Runner 2049;Science Fiction;SF;Denis Villeneuve;USA;Ryan Gosling - Jared Leto - Ana de Armas - Sylvia Hoeks - Robin Wright - Dave Bautista;;;DVD;2;2017;Fr-Ang-All;;;;;;;;;;;
Blanche Neige;Jeunesse;Dessins Animés;Walt Disney;USA;;;;DVD;2;1937;Fr-Ang;;;;;;;;;;;
Blanche Neige et le Chasseur;Fantastique;Conte;;USA;Kristen Stewart - Charlize Theron - Chris Hemsworth - Sam Caflin - Ian McShane;;;DVD;2;2012;Fr-Ang-Esp-Catalan;;;;;;;;;;;
Bleu Saphir;Fantastique;Aventures;Felix Fuchssteiner Katharina Schöde;Allemagne;Maria Ehrich - Jannis Niewöhner - Laura Berlin;;;DVD;2;2014;Fr-All;Saga Trilogie des Gemmes 2/3;;;;;;;;;;
Bliss;Comedie;Humour;Drew Barrymore;USA;Ellen Page - Juliette Lewis - Kristen Wiig;;;DVD;2;2009;Fr-Ang;;;;;;;;;;;
Blood Diamond;Action;Aventures;Afrique;USA;Leornado De Capriano - Djimon Hounsou;;;DVD;1;2006;Fr-Ang;;;;;;;;;;;
